iter	Passed	Remaining
402	14199	21035
403	14233	20997
404	14270	20965
405	14306	20930
406	14342	20896
407	14376	20860
408	14419	20836
409	14453	20799
410	14487	20762
411	14510	20709
412	14547	20676
413	14574	20630
414	14620	20609
415	14659	20579
416	14693	20542
417	14726	20503
418	14754	20459
419	14784	20416
420	14817	20378
421	14856	20349
422	14885	20305
423	14915	20262
424	14948	20224
425	14981	20185
426	15024	20161
427	15054	20119
428	15088	20083
429	15120	20043
430	15154	20006
431	15190	19972
432	15215	19924
433	15255	19894
434	15283	19850
435	15323	19822
436	15354	19781
437	15388	19744
438	15429	19717
439	15462	19679
440	15499	19646
441	15527	19601
442	15560	19565
443	15588	19521
444	15616	19476
445	15656	19447
446	15702	19426
447	15743	19398
448	15777	19361
449	15801	19312
450	15818	19255
451	15834	19198
452	15851	19140
453	15884	19103
454	15904	19050
455	15927	19001
456	15950	18952
457	15972	18901
458	16000	18858
459	16024	18811
460	16047	18762
461	16091	18738
462	16133	18711
463	16170	18679
464	16204	18644
465	16242	18612
466	16277	18577
467	16312	18543
468	16347	18508
469	16367	18457
470	16400	18420
471	16434	18384
472	16474	18355
473	16534	18348
474	16581	18327
475	16614	18290
476	16634	18238
477	16671	18206
478	16696	18160
479	16738	18133
480	16758	18082
481	16793	18048
482	16814	17998
483	16854	17968
484	16888	17933
485	16926	17901
486	16959	17864
487	16992	17827
488	17026	17792
489	17062	17758
490	17096	17723
491	17129	17686
492	17166	17653
493	17213	17631
494	17237	17585
495	17270	17548
496	17302	17511
497	17336	17476
498	17377	17446
499	17420	17420
500	17440	17371
501	17475	17335
502	17512	17303
503	17561	17282
504	17595	17247
505	17628	17210
506	17661	17173
507	17703	17146
508	17741	17113
509	17752	17056
510	17789	17023
511	17820	16985
512	17856	16951
513	17902	16927
514	17940	16895
515	17974	16859
516	18015	16830
517	18041	16787
518	18079	16755
519	18111	16718
520	18148	16685
521	18188	16655
522	18222	16619
523	18259	16586
524	18291	16549
525	18328	16516
526	18364	16482
527	18405	16453
528	18442	16420
529	18480	16388
530	18516	16354
531	18553	16321
532	18591	16289
533	18627	16255
534	18671	16228
535	18703	16191
536	18742	16159
537	18776	16124
538	18810	16088
539	18845	16053
540	18879	16017
541	18914	15983
542	18938	15938
543	18979	15909
544	19016	15876
545	19053	15843
546	19089	15809
547	19121	15772
548	19153	15734
549	19188	15699
550	19227	15668
551	19257	15629
552	19297	15598
553	19348	15576
554	19399	15554
555	19435	15520
556	19470	15485
557	19510	15454
558	19551	15424
559	19585	15388
560	19638	15367
561	19672	15331
562	19704	15294
563	19735	15256
564	19766	15218
565	19801	15183
566	19816	15133
567	19852	15099
568	19885	15062
569	19919	15026
570	19953	14990
571	19985	14954
572	20017	14917
573	20029	14865
574	20070	14834
575	20101	14797
576	20136	14761
577	20172	14728
578	20209	14694
579	20229	14649
580	20270	14618
581	20301	14581
582	20335	14545
583	20378	14515
584	20420	14486
585	20457	14452
586	20490	14416
587	20527	14382
588	20562	14348
589	20598	14314
590	20635	14281
591	20670	14246
592	20704	14210
593	20741	14176
594	20774	14140
595	20808	14104
596	20843	14069
597	20879	14036
598	20918	14003
599	20951	13967
600	20988	13934
601	21024	13899
602	21064	13868
603	21094	13829
604	21126	13793
605	21159	13757
606	21192	13720
607	21226	13685
608	21259	13649
609	21291	13612
610	21325	13577
611	21363	13544
612	21399	13509
613	21439	13478
614	21480	13447
615	21512	13410
616	21546	13374
617	21583	13341
618	21604	13297
619	21646	13267
620	21670	13225
621	21719	13199
622	21750	13161
623	21784	13126
624	21813	13088
625	21847	13052
626	21886	13020
627	21926	12988
628	21958	12951
629	21996	12918
630	22034	12885
631	22068	12849
632	22097	12811
633	22134	12778
634	22171	12744
635	22212	12712
636	22250	12679
637	22287	12646
638	22325	12612
639	22357	12576
640	22392	12541
641	22458	12523
642	22498	12491
643	22531	12455
644	22568	12421
645	22604	12386
646	22636	12350
647	22675	12317
648	22711	12283
649	22732	12240
650	22760	12201
651	22788	12162
652	22824	12128
653	22856	12092
654	22893	12058
655	22928	12023
656	22961	11987
657	22983	11945
658	23015	11909
659	23052	11875
660	23085	11839
661	23113	11801
662	23148	11766
663	23190	11734
664	23228	11701
665	23261	11665
666	23298	11631
667	23335	11597
668	23368	11561
669	23405	11528
670	23441	11493
671	23469	11455
672	23505	11421
673	23538	11385
674	23574	11350
675	23617	11319
676	23658	11287
677	23700	11255
678	23740	11223
679	23777	11189
680	23813	11155
681	23850	11120
682	23885	11085
683	23926	11053
684	23961	11018
685	23996	10983
686	24045	10955
687	24078	10919
688	24115	10885
689	24166	10857
690	24194	10819
691	24229	10784
692	24269	10751
693	24310	10719
694	24342	10682
695	24376	10647
696	24408	10610
697	24439	10574
698	24473	10538
699	24507	10503
700	24544	10468
701	24581	10434
702	24615	10399
703	24654	10366
704	24691	10332
705	24723	10295
706	24757	10260
707	24791	10224
708	24825	10189
709	24862	10155
710	24903	10122
711	24943	10089
712	24978	10054
713	25017	10020
714	25051	9985
715	25086	9950
716	25121	9915
717	25157	9880
718	25192	9845
719	25212	9804
720	25248	9770
721	25282	9734
722	25319	9700
723	25359	9667
724	25408	9637
725	25454	9606
726	25491	9572
727	25525	9537
728	25561	9502
729	25597	9467
730	25638	9434
731	25671	9398
732	25725	9370
733	25768	9338
734	25805	9303
735	25840	9268
736	25880	9235
737	25928	9204
738	25965	9170
739	25997	9134
740	26032	9098
741	26073	9065
742	26104	9029
743	26140	8994
744	26179	8960
745	26213	8925
746	26246	8889
747	26265	8848
748	26297	8812
749	26330	8776
750	26346	8735
751	26385	8701
752	26426	8668
753	26446	8628
754	26483	8594
755	26521	8559
756	26561	8526
757	26583	8487
758	26620	8452
759	26653	8416
760	26695	8383
761	26728	8348
762	26760	8312
763	26795	8277
764	26833	8242
765	26879	8211
766	26917	8176
767	26951	8141
768	26999	8110
769	27047	8079
770	27080	8043
771	27113	8007
772	27147	7972
773	27179	7936
774	27219	7902
775	27255	7867
776	27294	7833
777	27343	7802
778	27377	7766
779	27411	7731
