iter	RMSE
598	71123.10231
599	71110.81429
600	71104.88807
601	71078.07385
602	71072.73628
603	71072.60691
604	71070.3461
605	71028.28613
606	71011.62286
607	70951.8915
608	70914.19737
609	70904.29371
610	70890.30644
611	70856.67012
612	70827.30791
613	70801.55111
614	70799.94023
615	70793.52725
616	70781.66139
617	70779.65727
618	70779.57067
619	70768.30568
620	70768.18194
621	70744.49234
622	70743.60426
623	70718.74872
624	70718.62799
625	70706.58238
626	70635.97012
627	70574.6522
628	70574.44748
629	70532.05145
630	70530.19542
631	70494.8781
632	70494.64831
633	70494.28809
634	70486.99014
635	70485.41865
636	70436.89961
637	70404.47075
638	70392.36516
639	70388.13875
640	70343.70725
641	70342.22592
642	70340.87527
643	70340.68232
644	70329.64273
645	70264.30963
646	70262.94502
647	70255.49841
648	70244.62618
649	70244.21169
650	70244.04653
651	70243.89694
652	70242.74385
653	70241.46297
654	70239.03827
655	70216.9628
656	70216.83498
657	70216.71962
658	70197.08208
659	70176.13513
660	70174.92166
661	70174.81871
662	70153.9244
663	70139.07902
664	70124.80488
665	69942.63806
666	69938.19354
667	69906.75461
668	69893.90823
669	69882.57878
670	69882.51613
671	69882.45974
672	69879.11098
673	69879.05772
674	69875.98449
675	69873.53771
676	69862.37416
677	69811.07975
678	69796.2179
679	69780.59998
680	69765.36765
681	69756.47143
682	69750.49606
683	69711.89483
684	69710.58849
685	69685.90167
686	69670.95342
687	69670.4067
688	69665.02727
689	69644.66524
690	69644.61494
691	69635.66558
692	69563.9348
693	69546.45798
694	69524.92143
695	69473.86627
696	69447.97946
697	69446.73436
698	69430.22752
699	69408.88198
700	69407.77811
701	69367.18422
702	69361.34574
703	69317.90774
704	69304.08358
705	69304.05515
706	69302.91802
707	69284.09257
708	69250.65919
709	69250.07438
710	69208.20819
711	69194.39059
712	69162.94272
713	69148.23915
714	69143.46179
715	69133.7351
716	69110.27397
717	69086.73515
718	69055.2763
719	69055.09561
720	69051.75744
721	69049.88382
722	69044.50677
723	69014.29745
724	68987.30529
725	68977.12496
726	68969.84739
727	68956.36615
728	68950.0357
729	68934.26734
730	68926.21984
731	68900.499
732	68898.79601
733	68862.20014
734	68847.4705
735	68787.2888
736	68745.39552
737	68719.84592
738	68713.28022
739	68697.04327
740	68627.2023
741	68627.00453
742	68626.65683
743	68620.27682
744	68561.43149
745	68516.63652
746	68505.9293
747	68505.8526
748	68505.84941
749	68505.73117
750	68505.68963
751	68484.06552
752	68482.1412
753	68482.08366
754	68436.93287
755	68393.45509
756	68379.39602
757	68379.29997
758	68363.55688
759	68332.62366
760	68298.00335
761	68260.85128
762	68259.90202
763	68258.71542
764	68258.03231
765	68257.06697
766	68232.40609
767	68229.48648
768	68225.51112
769	68207.36078
770	68207.09119
771	68193.60361
772	68173.9934
773	68164.80921
774	68163.35119
775	68122.47528
776	68121.57229
777	68121.55301
778	68121.53694
779	68108.41812
780	68107.9135
781	68107.89422
782	68100.37589
783	68070.71879
784	68070.69306
785	68070.64804
786	68070.27499
787	68068.09134
788	68068.08169
789	68068.08169
790	68067.0622
791	68067.05255
792	68066.55727
793	68066.23566
794	68066.22601
795	68066.21636
796	68066.20993
797	68066.20028
798	68065.51203
799	68065.50238
800	68052.28269
801	68050.79973
802	68050.65176
803	68030.05109
804	68028.72533
805	68006.2092
806	68001.24216
807	68001.20675
808	68000.91702
809	68000.91058
810	68000.90092
811	67999.29452
812	67992.09581
813	67983.84983
814	67983.53749
815	67983.24447
816	67983.23803
817	67982.13676
818	67961.03538
819	67943.20102
820	67942.6694
821	67942.57918
822	67942.33109
823	67939.19602
824	67935.88359
825	67873.49065
826	67802.27189
827	67782.07048
828	67781.97682
829	67781.6474
830	67780.39106
831	67768.46278
832	67748.87169
833	67706.27123
834	67671.43076
835	67670.1368
836	67644.24579
837	67616.63548
838	67607.06149
839	67606.67294
840	67546.75337
841	67505.22198
842	67463.67151
843	67446.98444
844	67435.33154
845	67434.01357
846	67421.73179
847	67409.06782
848	67401.0818
849	67342.0618
850	67316.75028
851	67258.20308
852	67240.8497
853	67240.71948
854	67223.84355
855	67194.71829
856	67191.1476
857	67184.75509
858	67173.26527
859	67150.41992
860	67149.48755
861	67128.54511
862	67078.38124
863	67017.0388
864	67013.44885
865	67002.8216
866	67001.82511
867	66998.90415
868	66970.42961
869	66966.95811
870	66954.79991
871	66954.73125
872	66954.41084
873	66937.80611
874	66933.90775
875	66926.94443
876	66888.05556
877	66832.51973
878	66832.1627
879	66788.02702
880	66786.64055
881	66786.42094
882	66782.53341
883	66782.03516
884	66781.44184
885	66777.51469
886	66770.6662
887	66768.97446
888	66766.64332
889	66760.81678
890	66760.57413
891	66740.8315
892	66733.75946
893	66733.54952
894	66716.20077
895	66709.16222
896	66708.9522
897	66692.6146
898	66686.27605
899	66686.0594
900	66685.82304
901	66684.93671
902	66684.72005
903	66684.64454
904	66683.64986
905	66682.89481
906	66682.45163
907	66681.31246
908	66673.05541
909	66608.55281
910	66599.48473
911	66572.64792
912	66572.61833
913	66572.59202
914	66572.55914
915	66569.2346
916	66556.78337
917	66544.25087
918	66542.40204
919	66523.87475
920	66523.81552
921	66507.10658
922	66494.42973
923	66490.81156
924	66479.33682
925	66477.89451
926	66477.84841
927	66477.81548
928	66477.72657
929	66477.65742
930	66470.68253
931	66462.2445
932	66442.00797
933	66441.94208
934	66441.93878
935	66441.81029
936	66434.70971
937	66434.26817
938	66433.71788
939	66429.06496
940	66426.17155
941	66371.45971
942	66368.18447
943	66338.04996
944	66337.97406
945	66316.54758
946	66316.47166
947	66316.43865
948	66315.25028
949	66315.24038
950	66309.58876
951	66308.43989
952	66297.87463
953	66297.835
954	66261.18359
955	66260.86313
956	66260.8334
957	66254.67822
958	66246.37129
959	66233.11903
960	66209.28802
961	66204.75159
962	66204.74498
963	66198.88882
964	66198.80284
965	66198.79622
966	66198.77638
967	66198.2076
968	66197.52969
969	66178.88931
970	66177.6687
971	66171.40985
972	66147.48381
973	66123.26439
974	66118.32476
975	66114.85818
976	66114.57012
977	66061.3068
978	66059.18929
979	66057.69473
980	66042.64123
981	66042.6114
982	66042.40257
983	66041.94846
984	66004.92943
985	66004.88964
986	65978.96892
987	65976.16195
988	65975.73392
989	65951.89289
990	65950.66145
991	65949.65238
992	65948.84909
993	65946.29312
994	65943.64741
995	65933.83382
996	65917.99486
997	65917.48676
998	65897.58455
999	65866.15793
